movie_title,title_year,actor_1_name,actor_2_name,movie_facebook_likes,imdb_score
The Dark Knight Rises ,2012.0,Tom Hardy,Christian Bale,164000,8.5
WALL·E ,2008.0,John Ratzenberger,Fred Willard,16000,8.4
Toy Story 3 ,2010.0,Tom Hanks,John Ratzenberger,30000,8.3
Captain America: Civil War ,2016.0,Robert Downey Jr.,Scarlett Johansson,72000,8.2
The Avengers ,2012.0,Chris Hemsworth,Robert Downey Jr.,123000,8.1
X-Men: Days of Future Past ,2014.0,Jennifer Lawrence,Peter Dinklage,82000,8.0
The Hobbit: The Desolation of Smaug ,2013.0,Aidan Turner,Adam Brown,83000,7.9
Avatar ,2009.0,CCH Pounder,Joel David Moore,33000,7.9
Star Trek Into Darkness ,2013.0,Benedict Cumberbatch,Bruce Greenwood,92000,7.8
Tangled ,2010.0,Brad Garrett,Donna Murphy,29000,7.8
Skyfall ,2012.0,Albert Finney,Helen McCrory,80000,7.8
Titanic ,1997.0,Leonardo DiCaprio,Kate Winslet,26000,7.7
Avengers: Age of Ultron ,2015.0,Chris Hemsworth,Robert Downey Jr.,118000,7.5
Harry Potter and the Half-Blood Prince ,2009.0,Alan Rickman,Daniel Radcliffe,10000,7.5
Star Trek Beyond ,2016.0,Sofia Boutella,Melissa Roxburgh,30000,7.5
The Hobbit: The Battle of the Five Armies ,2014.0,Aidan Turner,Adam Brown,65000,7.5
Pirates of the Caribbean: Dead Man's Chest ,2006.0,Johnny Depp,Orlando Bloom,5000,7.3
The Great Gatsby ,2013.0,Leonardo DiCaprio,Elizabeth Debicki,115000,7.3
Monsters University ,2013.0,Steve Buscemi,Tyler Labine,44000,7.3
Spider-Man 2 ,2004.0,J.K. Simmons,James Franco,0,7.3
Furious 7 ,2015.0,Jason Statham,Paul Walker,94000,7.2
Brave ,2012.0,Kelly Macdonald,John Ratzenberger,39000,7.2
King Kong ,2005.0,Naomi Watts,Thomas Kretschmann,0,7.2
Iron Man 3 ,2013.0,Robert Downey Jr.,Jon Favreau,95000,7.2
Man of Steel ,2013.0,Henry Cavill,Christopher Meloni,118000,7.2
Pirates of the Caribbean: At World's End ,2007.0,Johnny Depp,Orlando Bloom,0,7.1
The Amazing Spider-Man ,2012.0,Emma Stone,Andrew Garfield,56000,7.0
Jurassic World ,2015.0,Bryce Dallas Howard,Judy Greer,150000,7.0
World War Z ,2013.0,Peter Capaldi,Brad Pitt,129000,7.0
Pacific Rim ,2013.0,Charlie Hunnam,Clifton Collins Jr.,83000,7.0
Batman v Superman: Dawn of Justice ,2016.0,Henry Cavill,Lauren Cohan,197000,6.9
X-Men: The Last Stand ,2006.0,Hugh Jackman,Kelsey Grammer,0,6.8
Men in Black 3 ,2012.0,Will Smith,Michael Stuhlbarg,40000,6.8
A Christmas Carol ,2009.0,Robin Wright,Colin Firth,0,6.8
Spectre ,2015.0,Christoph Waltz,Rory Kinnear,85000,6.8
TRON: Legacy ,2010.0,Jeff Bridges,Olivia Wilde,30000,6.8
The Good Dinosaur ,2015.0,A.J. Buckley,Jack McGraw,20000,6.8
The Amazing Spider-Man 2 ,2014.0,Emma Stone,Andrew Garfield,41000,6.7
Robin Hood ,2010.0,Mark Addy,William Hurt,17000,6.7
Quantum of Solace ,2008.0,Giancarlo Giannini,Mathieu Amalric,0,6.7
Pirates of the Caribbean: On Stranger Tides ,2011.0,Johnny Depp,Sam Claflin,58000,6.7
John Carter ,2012.0,Daryl Sabara,Samantha Morton,24000,6.6
Prince of Persia: The Sands of Time ,2010.0,Jake Gyllenhaal,Richard Coyle,23000,6.6
Terminator Salvation ,2009.0,Christian Bale,Bryce Dallas Howard,0,6.6
The Legend of Tarzan ,2016.0,Christoph Waltz,Alexander Skarsgård,29000,6.6
The Chronicles of Narnia: Prince Caspian ,2008.0,Peter Dinklage,Pierfrancesco Favino,0,6.6
The Lone Ranger ,2013.0,Johnny Depp,Ruth Wilson,48000,6.5
Alice in Wonderland ,2010.0,Johnny Depp,Alan Rickman,24000,6.5
Oz the Great and Powerful ,2013.0,Tim Holmes,Mila Kunis,60000,6.4
Jack the Giant Slayer ,2013.0,Eddie Marsan,Ewen Bremner,22000,6.3
Cars 2 ,2011.0,Joe Mantegna,Thomas Kretschmann,10000,6.3
Transformers: Dark of the Moon ,2011.0,Glenn Morshower,Lester Speight,46000,6.3
Rush Hour 3 ,2007.0,Tzi Ma,Dana Ivey,0,6.2
Spider-Man 3 ,2007.0,J.K. Simmons,James Franco,0,6.2
Indiana Jones and the Kingdom of the Crystal Skull ,2008.0,Harrison Ford,Ray Winstone,5000,6.2
The Golden Compass ,2007.0,Christopher Lee,Eva Green,0,6.1
Superman Returns ,2006.0,Kevin Spacey,Marlon Brando,0,6.1
Transformers: Revenge of the Fallen ,2009.0,Glenn Morshower,Kevin Dunn,0,6.0
Battleship ,2012.0,Liam Neeson,Alexander Skarsgård,44000,5.9
2012 ,2009.0,Oliver Platt,Liam James,13000,5.8
Transformers: Age of Extinction ,2014.0,Bingbing Li,Sophia Myles,56000,5.7
Green Lantern ,2011.0,Ryan Reynolds,Temuera Morrison,24000,5.6
Jupiter Ascending ,2015.0,Channing Tatum,Mila Kunis,44000,5.4
